ファイル名,行番号,差異カラム,Claude値,正解値,差異タイプ,修正要否,説明
MstMissionEvent.csv,2,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,3,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,4,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,5,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,6,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,7,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,8,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,9,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,10,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,11,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,12,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,13,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,14,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,15,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,16,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,17,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,18,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,19,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,20,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,21,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,22,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,23,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,24,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,25,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,26,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,27,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,28,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,29,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,30,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,31,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,32,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,33,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,34,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,35,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,36,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,37,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,38,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,39,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,40,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,41,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,42,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,43,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEvent.csv,44,unlock_criterion_type,"""""",__NULL__,NULL表現の違い,修正不要,大した問題ではない
MstMissionEventDependency.csv,2,id,mission_event_dependency_event_jig_00001_1_1,151,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionEventDependency.csv,3,id,mission_event_dependency_event_jig_00001_1_2,152,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionEventDependency.csv,4,id,mission_event_dependency_event_jig_00001_1_3,153,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionEventDependency.csv,5,id,mission_event_dependency_event_jig_00001_1_4,154,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionEventDependency.csv,6,id,mission_event_dependency_event_jig_00001_5_1,155,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionEventDependency.csv,7,id,mission_event_dependency_event_jig_00001_5_2,156,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionEventDependency.csv,8,id,mission_event_dependency_event_jig_00001_5_3,157,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionEventDependency.csv,9,id,mission_event_dependency_event_jig_00001_5_4,158,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionEventDependency.csv,10,id,mission_event_dependency_event_jig_00001_5_5,159,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionEventDependency.csv,11,id,mission_event_dependency_event_jig_00001_5_6,160,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionEventDependency.csv,12,id,mission_event_dependency_event_jig_00001_5_7,161,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
