作品_ID,作品名,背景_id,背景一覧登録名称,備考欄,ループ可否,デカコマ対応,画像名,データ投入,リリースキー,実装ブランチ,リリースキー対応
spy,SPY×FAMILY,koma_background_spy_00001,ヨーロッパ風の市街地_昼,他作品のキャラ登場不可,可,対応,,完了,202509010,v1.0.0,完了
spy,SPY×FAMILY,koma_background_spy_00002,ヨーロッパ風の市街地_夜,他作品のキャラ登場不可,可,対応,,完了,202509010,v1.0.0,完了
spy,SPY×FAMILY,koma_background_spy_00003,イーデン校中庭,他作品のキャラ登場不可,可,対応,,完了,202510010,v1.0.0,完了
spy,SPY×FAMILY,koma_background_spy_00004,イーデン校中庭_夕方,他作品のキャラ登場不可,可,対応,,完了,202510010,v1.0.0,完了
spy,SPY×FAMILY,koma_background_spy_00005,黄昏が借りた部屋,他作品のキャラ登場不可,可,非対応,,完了,202509010,v1.0.0,完了
spy,SPY×FAMILY,koma_background_spy_00006,城内部,他作品のキャラ登場不可,不可,対応,,完了,202509010,v1.0.0,完了
aka,ラーメン赤猫,koma_background_aka_00001,住宅街_赤猫差分,,不可,対応,,完了,202509010,v1.0.0,完了
rik,トマトイプーのリコピン,koma_background_rik_00001,キュートピア,,可,対応,,完了,202509010,v1.0.0,完了
dan,ダンダダン,koma_background_dan_00001,,,,,,,未定,,
dan,ダンダダン,koma_background_dan_00002,住宅街_UFOあり,,可,対応,,完了,202509010,v1.0.0,完了
dan,ダンダダン,koma_background_dan_00003,住宅街_真っ暗,,可,対応,,完了,202509010,v1.0.0,完了
dan,ダンダダン,koma_background_dan_00004,住宅街_怪しい空,,可,対応,,完了,202509010,v1.0.0,完了
dan,ダンダダン,koma_background_dan_00005,トンネル,,可,非対応,,完了,202509010,v1.0.0,完了
dan,ダンダダン,koma_background_dan_00006,廃墟,,可,非対応,,完了,202509010,v1.0.0,完了
dan,ダンダダン,koma_background_dan_00007,宇宙船内部,,可,非対応,,完了,202509010,v1.0.0,完了
dan,ダンダダン,koma_background_dan_00008,モモの家_廊下,,可,非対応,,完了,202510020,,完了
dan,ダンダダン,koma_background_dan_00009,モモの家_廊下_階段差分,,不可,非対応,,完了,202510020,,完了
gom,姫様“拷問”の時間です,koma_background_gom_00001,牢獄_通路,,可,非対応,,完了,202509010,v1.0.0,完了
gom,姫様“拷問”の時間です,koma_background_gom_00002,牢獄_通路_夜,,可,非対応,,完了,202509010,v1.0.0,完了
gom,姫様“拷問”の時間です,koma_background_gom_00003,牢獄_通路_暗グラデ,,不可,非対応,,完了,202509010,v1.0.0,完了
chi,チェンソーマン,koma_background_chi_00001,,,,,,,未定,,
bat,忘却バッテリー,koma_background_bat_00001,,,,,,,未定,,
kai,怪獣８号,koma_background_kai_00001,立川基地_市街地型演習場,,可,対応,,完了,202509010,v1.0.0,完了
kai,怪獣８号,koma_background_kai_00002,立川基地_市街地型演習場_夜差分,,可,対応,,完了,202509010,v1.0.0,完了
kai,怪獣８号,koma_background_kai_00003,防衛隊有明りんかい基地_内部,,可,対応,,完了,202509010,v1.0.0,完了
yuw,2.5次元の誘惑,koma_background_yuw_00001,コミケ会場風,,可,対応,,完了,202511020,v1.0.0,完了
yuw,2.5次元の誘惑,koma_background_yuw_00002,コミケ会場風_国際会議場あり,,不可,対応,,完了,202511020,v1.0.0,完了
yuw,2.5次元の誘惑,koma_background_yuw_00003,コミケの囲い撮影場,,可,対応,,完了,202511020,v1.0.0,完了
yuw,2.5次元の誘惑,koma_background_yuw_00004,コミケの囲い撮影場_国際会議場あり,,不可,対応,,完了,202511020,v1.0.0,完了
sur,魔都精兵のスレイブ,koma_background_sur_00001,魔都,,可,対応,,完了,202509010,v1.0.0,完了
sur,魔都精兵のスレイブ,koma_background_sur_00002,魔都_空差分,,可,対応,,完了,202509010,v1.0.0,完了
sur,魔都精兵のスレイブ,koma_background_sur_00003,魔都_防御シールド差分,,可,対応,,完了,202512010,,完了
ron,鴨乃橋ロンの禁断推理,koma_background_ron_00001,,,,,,,未定,,
aha,阿波連さんははかれない,koma_background_aha_00001,,,,,,,未定,,
tak,タコピーの原罪,koma_background_tak_00001,,,,,,,未定,,
jig,地獄楽,koma_background_jig_00001,神仙郷,,可,対応,,完了,202509010,v1.0.0,完了
jig,地獄楽,koma_background_jig_00002,神仙郷_オブジェあり,,可,対応,,完了,202509010,v1.0.0,完了
jig,地獄楽,koma_background_jig_00003,神仙郷_開けた大地,,可,対応,,完了,202509010,v1.0.0,完了
jig,地獄楽,koma_background_jig_00004,処刑場室内,,可,非対応,,完了,未定,v1.0.0,完了
mag,株式会社マジルミエ,koma_background_mag_00001,市街地_怪異差分,,可,対応,,完了,202509010,v1.0.0,完了
mag,株式会社マジルミエ,koma_background_mag_00002,商店街,,可,対応,,完了,202509010,v1.0.0,完了
mag,株式会社マジルミエ,koma_background_mag_00003,商店街_怪異差分,,可,対応,,完了,202509010,v1.0.0,完了
mag,株式会社マジルミエ,koma_background_mag_00004,ビルの内部,,可,非対応,,完了,202509010,v1.0.0,完了
mag,株式会社マジルミエ,koma_background_mag_00005,工事現場,,可,対応,,完了,202511010,,完了
mag,株式会社マジルミエ,koma_background_mag_00006,工事現場_解体中建物あり,,不可,対応,,完了,202511010,,完了
dos,道産子ギャルはなまらめんこい,koma_background_dos_00001,,,,,,,未定,,
sum,サマータイムレンダ,koma_background_sum_00001,海岸沿いの道路_昼,,可,対応,,完了,202509010,v1.0.0,完了
sum,サマータイムレンダ,koma_background_sum_00002,海岸沿いの道路_夜,,可,対応,,完了,202509010,v1.0.0,完了
sum,サマータイムレンダ,koma_background_sum_00003,海辺の街,,可,対応,,完了,202509010,v1.0.0,完了
sum,サマータイムレンダ,koma_background_sum_00004,海辺の街_堤防,,不可,対応,,完了,202509010,v1.0.0,完了
sum,サマータイムレンダ,koma_background_sum_00005,小早川家の家,,可,非対応,,完了,202509010,v1.0.0,完了
osh,【推しの子】,koma_background_osh_00001,ライブ会場,,可,対応,,完了,202512020,v1.0.0,完了
osh,【推しの子】,koma_background_osh_00002,ダンススタジオ,,可,非対応,,完了,202512020,v1.0.0,完了
you,幼稚園WARS,koma_background_you_00001,ブラック幼稚園_外観,,可,対応,,完了,202602010,v1.5.0,完了
you,幼稚園WARS,koma_background_you_00002,ブラック幼稚園_正門前,,不可,対応,,完了,202602010,v1.5.0,完了
you,幼稚園WARS,koma_background_you_00003,ブラック幼稚園_園内,,可,対応,,完了,202602010,v1.5.0,完了
you,幼稚園WARS,koma_background_you_00004,ブラック幼稚園_園舎,,不可,対応,,完了,202602010,v1.5.0,完了
kim,君のことが大大大大大好きな100人の彼女,koma_background_kim_00001,花園家,,可,非対応,,完了,202602020,,完了
kim,君のことが大大大大大好きな100人の彼女,koma_background_kim_00002,花園家_扉差分,,不可,非対応,,完了,202602020,,完了
aya,あやかしトライアングル,koma_background_aya_00001,神社の境内,,可,対応,,完了,未定,,まだ
aya,あやかしトライアングル,koma_background_aya_00002,神社の境内_本殿あり,,不可,対応,,完了,未定,,まだ
mar,マリッジトキシン,koma_background_mar_00001,輸送船内部,,可,非対応,,完了,未定,,まだ
mar,マリッジトキシン,koma_background_mar_00002,輸送船内部_椅子なし差分,,可,非対応,,完了,未定,,まだ
,,,,,,,,,,,
glo,GLOW,koma_background_glo_00001,汎用_住宅街_昼,,可,対応,,完了,202509010,v1.0.0,完了
glo,GLOW,koma_background_glo_00002,汎用_住宅街_夜,,可,対応,,完了,202509010,v1.0.0,完了
glo,GLOW,koma_background_glo_00003,汎用_住宅街_夜_破壊,,可,対応,,完了,202509010,v1.0.0,完了
glo,GLOW,koma_background_glo_00004,汎用_森_昼,,可,対応,,完了,202509010,v1.0.0,完了
glo,GLOW,koma_background_glo_00005,汎用_森_破壊_昼,,可,対応,,完了,未定／ストック,,まだ
glo,GLOW,koma_background_glo_00006,汎用_森_夜,,可,対応,,完了,未定／ストック,,まだ
glo,GLOW,koma_background_glo_00007,汎用_森_破壊_夜,,可,対応,,完了,未定／ストック,,まだ
glo,GLOW,koma_background_glo_00008,汎用_市街地_昼,,可,対応,,完了,202509010,v1.0.0,完了
glo,GLOW,koma_background_glo_00009,汎用_市街地_夜,,可,対応,,完了,202509010,v1.0.0,完了
glo,GLOW,koma_background_glo_00010,汎用_市街地_破壊,,可,対応,,完了,202509010,v1.0.0,完了
glo,GLOW,koma_background_glo_00011,汎用_学校_廊下,,可,非対応,,完了,202510020,v1.0.0,完了
glo,GLOW,koma_background_glo_00012,汎用_学校_廊下_夜,,可,非対応,,完了,202510020,v1.0.0,完了
glo,GLOW,koma_background_glo_00013,汎用_学校_階段あり廊下,,可,非対応,,完了,202509010,v1.0.0,完了
glo,GLOW,koma_background_glo_00014,汎用_学校_部室あり廊下,,可,非対応,,完了,202509010,v1.0.0,完了
glo,GLOW,koma_background_glo_00015,汎用_住宅街_夕方,,可,対応,,完了,202509010,v1.0.0,完了
glo,GLOW,koma_background_glo_00016,汎用_倉庫,,可,非対応,,完了,202509010,v1.0.0,完了
glo,GLOW,koma_background_glo_00017,汎用_不穏な背景_赤,超次元バトルなど,不可,対応,,完了,"202509010
※チュートリアル1話で使用",v1.0.0,完了
glo,GLOW,koma_background_glo_00018,汎用_不穏な背景_青,未制作,不可,対応,,,未定,,
glo,GLOW,koma_background_glo_00019,汎用_不穏な背景_緑,未制作,不可,対応,,,未定,,
glo,GLOW,koma_background_glo_00020,汎用_不穏な背景_黄,未制作,不可,対応,,,未定,,
glo,GLOW,koma_background_glo_00021,汎用_不穏な背景_ノーマル,未制作,不可,対応,,,未定,,
glo,GLOW,koma_background_glo_00022,汎用_住宅街_夕方_破壊,,可,対応,,完了,202509010,v1.0.0,完了
glo,GLOW,koma_background_glo_00023,汎用_コインクエスト,,可,対応,,完了,202509010,v1.0.0,完了
glo,GLOW,koma_background_glo_00024,汎用_都会の公園_広場,,可,対応,,完了,202509010,v1.0.0,完了
glo,GLOW,koma_background_glo_00025,汎用_洞窟,,可,対応,,完了,202509010,,完了
glo,GLOW,koma_background_glo_00026,汎用_洞窟_滝差分,,不可,対応,,完了,202509010,,完了
glo,GLOW,koma_background_glo_00027,汎用_電車内,,可,非対応,,完了,202509010,,完了
glo,GLOW,koma_background_glo_00028,汎用_学校の屋上,,可,対応,,完了,202509010,,完了
glo,GLOW,koma_background_glo_00029,汎用_学校の屋上_入口差分,,不可,対応,,完了,202509010,,完了
glo,GLOW,koma_background_glo_00030,汎用_レッドカーペット_0.5周年,企画ごとに中のキャラや背景を変更して投入します。その度に採番して別の背景として扱います。0.5周年のもののキャラも決定したら差し替えて実装できればと思います。,可,対応,,完了,未定,,まだ
glo,GLOW,koma_background_glo_00031,汎用_学校_廊下_クリスマス差分,,可,非対応,,完了,,,完了
glo,GLOW,koma_background_glo_00032,汎用_市街地_夜_イルミネーション,,可,対応,,完了,,,完了
glo,GLOW,koma_background_glo_00033,汎用_市街地_夜_イルミネーション_ツリーあり,,可,対応,,完了,,,完了
glo,GLOW,koma_background_glo_00034,汎用_荒野,,可,対応,,完了,未定,,まだ
glo,GLOW,koma_background_glo_00035,汎用_市街地_破壊_晴れ差分,,可,対応,,完了,未定,,まだ
glo,GLOW,koma_background_glo_00036,汎用_レッドカーペット_コイン増量,,可,対応,,完了,,,完了
glo,GLOW,koma_background_glo_00037,汎用_市街地_破壊2,,可,対応,,完了,,,まだ
glo,GLOW,koma_background_glo_00038,汎用_学園祭ライブステージ,,可,対応,,完了,202603010,,完了
glo,GLOW,koma_background_glo_00039,汎用_学校の体育館ステージ,,可,対応,,完了,202603010,,完了
glo,GLOW,koma_background_glo_00040,汎用_BOXガシャ用背景,,可,対応,,まだ,202602020,,まだ
