作品_ID,作品名,背景_id,背景一覧登録名称,備考欄
spy,SPY×FAMILY,koma_background_spy_00001,ヨーロッパ風の市街地_昼,他作品のキャラ登場不可
spy,SPY×FAMILY,koma_background_spy_00002,ヨーロッパ風の市街地_夜,他作品のキャラ登場不可
spy,SPY×FAMILY,koma_background_spy_00003,イーデン校中庭,他作品のキャラ登場不可
spy,SPY×FAMILY,koma_background_spy_00004,イーデン校中庭_夕方,他作品のキャラ登場不可
spy,SPY×FAMILY,koma_background_spy_00005,黄昏が借りた部屋,他作品のキャラ登場不可
spy,SPY×FAMILY,koma_background_spy_00006,城内部,他作品のキャラ登場不可
aka,ラーメン赤猫,koma_background_aka_00001,住宅街_赤猫差分,
rik,トマトイプーのリコピン,koma_background_rik_00001,キュートピア,
dan,ダンダダン,koma_background_dan_00001,,
dan,ダンダダン,koma_background_dan_00002,住宅街_UFOあり,
dan,ダンダダン,koma_background_dan_00003,住宅街_真っ暗,
dan,ダンダダン,koma_background_dan_00004,住宅街_怪しい空,
dan,ダンダダン,koma_background_dan_00005,トンネル,
dan,ダンダダン,koma_background_dan_00006,廃墟,
dan,ダンダダン,koma_background_dan_00007,宇宙船内部,
dan,ダンダダン,koma_background_dan_00008,モモの家_廊下,
dan,ダンダダン,koma_background_dan_00009,モモの家_廊下_階段差分,
gom,姫様“拷問”の時間です,koma_background_gom_00001,牢獄_通路,
gom,姫様“拷問”の時間です,koma_background_gom_00002,牢獄_通路_夜,
gom,姫様“拷問”の時間です,koma_background_gom_00003,牢獄_通路_暗グラデ,
chi,チェンソーマン,koma_background_chi_00001,,
bat,忘却バッテリー,koma_background_bat_00001,,
kai,怪獣８号,koma_background_kai_00001,立川基地_市街地型演習場,
kai,怪獣８号,koma_background_kai_00002,立川基地_市街地型演習場_夜差分,
kai,怪獣８号,koma_background_kai_00003,防衛隊有明りんかい基地_内部,
yuw,2.5次元の誘惑,koma_background_yuw_00001,コミケ会場風,
yuw,2.5次元の誘惑,koma_background_yuw_00002,コミケ会場風_国際会議場あり,
yuw,2.5次元の誘惑,koma_background_yuw_00003,コミケの囲い撮影場,
yuw,2.5次元の誘惑,koma_background_yuw_00004,コミケの囲い撮影場_国際会議場あり,
sur,魔都精兵のスレイブ,koma_background_sur_00001,魔都,
sur,魔都精兵のスレイブ,koma_background_sur_00002,魔都_空差分,
sur,魔都精兵のスレイブ,koma_background_sur_00003,魔都_防御シールド差分,
ron,鴨乃橋ロンの禁断推理,koma_background_ron_00001,,
aha,阿波連さんははかれない,koma_background_aha_00001,,
tak,タコピーの原罪,koma_background_tak_00001,,
jig,地獄楽,koma_background_jig_00001,神仙郷,
jig,地獄楽,koma_background_jig_00002,神仙郷_オブジェあり,
jig,地獄楽,koma_background_jig_00003,神仙郷_開けた大地,
jig,地獄楽,koma_background_jig_00004,処刑場室内,
